County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,2/28/2020,0,0,0
Hawaii,3/2/2020,0,0,0
Hawaii,3/3/2020,0,0,1
Hawaii,3/6/2020,0,0,0
Hawaii,3/7/2020,0,0,0
Hawaii,3/8/2020,0,0,0
Hawaii,3/9/2020,0,0,0
Hawaii,3/10/2020,0,0,0
Hawaii,3/11/2020,0,0,0
Hawaii,3/12/2020,0,0,2
Hawaii,3/13/2020,0,0,3
Hawaii,3/14/2020,0,0,6
Hawaii,3/15/2020,0,0,19
Hawaii,3/16/2020,0,0,28
Hawaii,3/17/2020,1,1,31
Hawaii,3/18/2020,0,0,22
Hawaii,3/19/2020,0,0,55
Hawaii,3/20/2020,2,2,78
Hawaii,3/21/2020,0,0,71
Hawaii,3/22/2020,1,2,133
Hawaii,3/23/2020,1,0,94
Hawaii,3/24/2020,0,0,21
Hawaii,3/25/2020,1,0,26
Hawaii,3/26/2020,2,2,115
Hawaii,3/27/2020,5,5,284
Hawaii,3/28/2020,4,4,232
Hawaii,3/29/2020,1,1,51
Hawaii,3/30/2020,0,0,31
Hawaii,3/31/2020,3,2,226
Hawaii,4/1/2020,0,0,136
Hawaii,4/2/2020,2,2,89
Hawaii,4/3/2020,2,2,152
Hawaii,4/4/2020,0,0,40
Hawaii,4/5/2020,1,0,136
Hawaii,4/6/2020,1,1,55
Hawaii,4/7/2020,3,4,51
Hawaii,4/8/2020,0,0,22
Hawaii,4/9/2020,1,1,148
Hawaii,4/10/2020,3,3,183
Hawaii,4/11/2020,5,3,111
Hawaii,4/12/2020,1,2,66
Hawaii,4/13/2020,1,2,15
Hawaii,4/14/2020,0,0,32
Hawaii,4/15/2020,0,0,31
Hawaii,4/16/2020,3,3,65
Hawaii,4/17/2020,16,16,288
Hawaii,4/18/2020,2,2,91
Hawaii,4/19/2020,2,2,92
Hawaii,4/20/2020,0,0,48
Hawaii,4/21/2020,3,4,124
Hawaii,4/22/2020,1,0,69
Hawaii,4/23/2020,1,2,206
Hawaii,4/24/2020,0,1,130
Hawaii,4/25/2020,1,1,71
Hawaii,4/26/2020,0,0,16
Hawaii,4/27/2020,0,0,24
Hawaii,4/28/2020,0,1,181
Hawaii,4/29/2020,3,3,71
Hawaii,4/30/2020,0,0,237
Hawaii,5/1/2020,0,0,127
Hawaii,5/2/2020,1,1,116
Hawaii,5/3/2020,1,1,92
Hawaii,5/4/2020,0,0,80
Hawaii,5/5/2020,0,0,98
Hawaii,5/6/2020,0,0,56
Hawaii,5/7/2020,0,0,199
Hawaii,5/8/2020,0,0,97
Hawaii,5/9/2020,0,0,174
Hawaii,5/10/2020,0,0,13
Hawaii,5/11/2020,0,0,78
Hawaii,5/12/2020,0,0,97
Hawaii,5/13/2020,0,1,154
Hawaii,5/14/2020,0,0,170
Hawaii,5/15/2020,1,0,157
Hawaii,5/16/2020,1,2,146
Hawaii,5/17/2020,0,0,50
Hawaii,5/18/2020,1,1,104
Hawaii,5/19/2020,0,0,198
Hawaii,5/20/2020,3,3,159
Hawaii,5/21/2020,0,0,178
Hawaii,5/22/2020,0,0,189
Hawaii,5/23/2020,0,0,180
Hawaii,5/24/2020,0,0,38
Hawaii,5/25/2020,0,0,76
